,Rank,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious
1,,,,,,,,,
2,1,USA,"5,254,561","+3,115","166,295",+103,"2,717,513","2,370,753","17,591"
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,2,Brazil,"3,057,470",,"101,857",,"2,163,812","791,801","8,318"
7,3,India,"2,294,438","+27,285","45,597",+244,"1,604,119","644,722","8,944"
8,,,,,,,,,
9,4,Russia,"897,599","+4,945","15,131",+130,"703,175","179,293","2,300"
10,5,South Africa,"563,598",,"10,621",,"417,200","135,777",539
11,6,Mexico,"485,836","+5,558","53,003",+705,"327,993","104,840","3,683"
12,7,Peru,"483,133",,"21,276",,"329,404","132,453","1,484"
13,8,Colombia,"397,623",,"13,154",,"221,485","162,984","1,493"
14,9,Chile,"375,044",,"10,139",,"347,342","17,563","1,276"
15,10,Spain,"370,060",,"28,576",,N/A,N/A,617
16,11,Iran,"331,189","+2,345","18,800",+184,"288,620","23,769","3,983"
17,12,UK,"311,641",,"46,526",,N/A,N/A,67
18,13,Saudi Arabia,"291,468","+1,521","3,233",+34,"255,118","33,117","1,821"
19,14,Pakistan,"285,191",+531,"6,112",+15,"261,246","17,833",780
20,15,Bangladesh,"263,503","+2,996","3,471",+33,"151,972","108,060",
21,16,Argentina,"253,868",,"4,785",+21,"181,389","67,694","1,569"
22,17,Italy,"250,825",,"35,209",,"202,248","13,368",46
23,18,Turkey,"241,997",,"5,858",,"224,970","11,169",603
24,19,Germany,"218,852",+352,"9,266",+1,"198,900","10,686",236
25,20,France,"202,775",,"30,340",,"82,836","89,599",383
26,21,Iraq,"156,995","+3,396","5,531",+67,"112,102","39,362",545
27,22,Philippines,"139,538","+2,987","2,312",+19,"68,432","68,794",389
28,23,Indonesia,"128,776","+1,693","5,824",+59,"83,710","39,242",
29,24,Canada,"120,132",,"8,987",,"106,355","4,790","2,282"
30,25,Qatar,"113,262",,188,,"109,993","3,081",75
31,26,Kazakhstan,"100,164",+722,"1,269",+23,"73,702","25,193",221
32,27,Egypt,"95,666",,"5,035",,"53,779","36,852",41
33,28,Ecuador,"94,701",,"5,932",,"78,608","10,161",369
34,29,Bolivia,"91,635","+1,636","3,712",+72,"30,823","57,100",71
35,30,Israel,"85,354",+632,619,+6,"60,019","24,716",381
36,31,China,"84,712",+44,"4,634",,"79,284",794,44
37,32,Sweden,"83,126",,"5,770",+5,N/A,N/A,35
38,33,Ukraine,"83,115","+1,158","1,951",+29,"44,934","36,230",132
39,34,Oman,"82,050",+263,533,+12,"76,720","4,797",164
40,35,Dominican Republic,"80,499",,"1,328",,"44,910","34,261",309
41,36,Panama,"75,394",,"1,664",,"49,510","24,220",157
42,37,Belgium,"74,620",+468,"9,879",+7,"17,792","46,949",73
43,38,Kuwait,"73,068",+668,486,+4,"64,759","7,823",110
44,39,Belarus,"69,005",+58,592,+3,"65,219","3,194",
45,40,Romania,"63,762","+1,215","2,764",+35,"30,585","30,413",485
46,41,UAE,"62,966",+262,358,+1,"56,961","5,647",
47,42,Netherlands,"59,973",+779,"6,159",+2,N/A,N/A,40
48,43,Guatemala,"56,987",,"2,222",,"45,589","9,176",5
49,44,Singapore,"55,353",+61,27,,"49,609","5,717",
50,45,Poland,"52,961",+551,"1,821",+12,"37,150","13,990",74
51,46,Portugal,"52,945",+120,"1,761",+2,"38,760","12,424",29
52,47,Japan,"47,990",,"1,047",,"33,058","13,885",162
53,48,Honduras,"47,872",+418,"1,506",+11,"6,649","39,717",45
54,49,Nigeria,"46,867",,950,,"33,346","12,571",7
55,50,Bahrain,"44,397",,165,+2,"41,209","3,023",36
56,51,Ghana,"41,212",,215,,"38,727","2,270",6
57,52,Armenia,"40,593",+160,803,+7,"33,157","6,633",
58,53,Kyrgyzstan,"40,455",+278,"1,478",+4,"32,734","6,243",24
59,54,Afghanistan,"37,269",+107,"1,344",+16,"26,415","9,510",31
60,55,Switzerland,"36,895",+187,"1,990",+3,"32,400","2,505",22
61,56,Algeria,"35,712",,"1,312",,"24,920","9,480",57
62,57,Morocco,"34,063",,516,,"24,524","9,023",31
63,58,Azerbaijan,"33,731",+84,495,+3,"30,856","2,380",
64,59,Uzbekistan,"31,747",+443,204,+4,"23,704","7,839",387
65,60,Serbia,"28,497",+235,652,+6,"18,965","8,880",91
66,61,Moldova,"28,223",+382,857,+7,"19,740","7,626",362
67,62,Kenya,"27,425",+497,438,+15,"13,867","13,120",44
68,63,Venezuela,"26,800",,229,,"16,930","9,641",74
69,64,Ireland,"26,768",,"1,772",,"23,364","1,632",7
70,65,Nepal,"23,948",+638,83,+4,"16,664","7,201",
71,66,Costa Rica,"23,872",,244,,"7,823","15,805",84
72,,,,,,,,,
73,67,Ethiopia,"23,591",,420,,"10,411","12,760",164
74,68,Austria,"22,245",+139,723,,"20,123","1,399",25
75,69,Australia,"21,713",+316,331,+18,"12,144","9,238",55
76,70,El Salvador,"21,269",+397,570,+7,"9,875","10,824",539
77,71,Czechia,"18,494",,390,,"12,983","5,121",17
78,72,Cameroon,"18,042",,395,,"15,320","2,327",30
79,73,Ivory Coast,"16,798",,105,,"13,052","3,641",
80,74,Denmark,"14,959",+144,621,+1,"12,988","1,350",2
81,75,Palestine,"14,875",+365,103,+3,"8,181","6,591",
82,76,Bosnia and Herzegovina,"14,708",+210,447,+22,"8,411","5,850",
83,77,S. Korea,"14,660",+34,305,,"13,729",626,15
84,78,Bulgaria,"13,512",,459,,"7,980","5,073",54
85,79,Madagascar,"13,317",+115,152,+1,"11,276","1,889",98
86,80,North Macedonia,"12,083",+141,529,+1,"8,248","3,306",6
87,81,Sudan,"12,033",+77,786,+5,"6,282","4,965",
88,82,Senegal,"11,380",+68,238,+2,"7,449","3,693",49
89,83,Norway,"9,712",+28,256,,"8,857",599,2
90,84,DRC,"9,499",+10,225,+1,"8,375",899,
91,85,Malaysia,"9,103",+9,125,,"8,809",169,2
92,86,French Guiana,"8,324",,49,,"7,549",726,19
93,87,Zambia,"8,275",+65,241,,"7,004","1,030",
94,88,Gabon,"8,006",,51,,"5,823","2,132",9
95,89,Guinea,"7,930",,50,,"6,898",982,24
96,90,Tajikistan,"7,871",+44,63,+1,"6,653","1,155",
97,91,Haiti,"7,649",+15,183,,"4,982","2,484",
98,92,Finland,"7,623",+22,333,,"6,980",310,1
99,93,Paraguay,"7,234",,82,,"5,276","1,876",34
100,94,Luxembourg,"7,216",,121,,"6,170",925,6
101,95,Lebanon,"6,812",,80,,"2,290","4,442",37
102,96,Mauritania,"6,555",,157,,"5,570",828,3
103,97,Albania,"6,536",,200,,"3,379","2,957",20
104,98,Libya,"5,929",,125,,724,"5,080",
105,99,Greece,"5,749",,213,,"3,804","1,732",24
106,100,Croatia,"5,740",+91,160,+2,"4,962",618,5
107,101,Djibouti,"5,347",,59,,"5,120",168,
108,102,Maldives,"5,157",,20,+1,"2,835","2,302",12
109,103,Equatorial Guinea,"4,821",,83,,"2,182","2,556",
110,104,Zimbabwe,"4,748",,104,,"1,524","3,120",
111,105,Hungary,"4,746",+15,605,,"3,527",614,5
112,106,Malawi,"4,674",,146,,"2,430","2,098",4
113,107,CAR,"4,641",,60,,"1,721","2,860",2
114,108,Hong Kong,"4,182",+33,58,+3,"3,052","1,072",32
115,109,Nicaragua,"3,902",,123,,"2,913",866,
116,110,Montenegro,"3,696",,68,,"2,521","1,107",
117,111,Congo,"3,664",,58,,"1,589","2,017",
118,112,Thailand,"3,351",,58,,"3,163",130,1
119,113,Eswatini,"3,309",,61,,"1,634","1,614",10
120,114,Namibia,"3,229",+128,19,,715,"2,495",12
121,115,Somalia,"3,227",,93,,"1,728","1,406",2
122,116,Mayotte,"3,068",,39,,"2,835",194,1
123,117,Cuba,"3,046",,88,,"2,460",498,6
124,118,Cabo Verde,"2,883",,32,,"2,128",723,
125,119,Sri Lanka,"2,875",+4,11,,"2,622",242,1
126,120,Slovakia,"2,615",+16,31,,"1,874",710,4
127,121,Mali,"2,573",,125,,"1,969",479,
128,122,Suriname,"2,489",,30,,"1,674",785,13
129,123,South Sudan,"2,470",,47,,"1,175","1,248",
130,124,Mozambique,"2,411",,16,,860,"1,535",
131,125,Lithuania,"2,283",+18,81,,"1,679",523,6
132,126,Slovenia,"2,272",+17,129,+1,"1,960",183,2
133,127,Estonia,"2,167",+9,63,,"1,968",136,
134,128,Rwanda,"2,152",,7,,"1,392",753,
135,129,Guinea-Bissau,"2,088",+36,29,,"1,015","1,044",5
136,130,Benin,"2,001",+65,38,,"1,681",282,
137,131,Iceland,"1,968",+6,10,,"1,844",114,1
138,132,Sierra Leone,"1,917",,69,,"1,447",401,
139,133,Yemen,"1,832",,518,,915,399,
140,134,Tunisia,"1,717",,51,,"1,265",401,9
141,135,Angola,"1,679",,78,,569,"1,032",20
142,136,New Zealand,"1,570",+1,22,,"1,526",22,
143,137,Uruguay,"1,364",,37,,"1,146",181,4
144,138,Gambia,"1,346",+111,32,+9,227,"1,087",
145,139,Uganda,"1,313",+16,9,,"1,138",166,
146,140,Latvia,"1,293",+3,32,,"1,078",183,
147,141,Jordan,"1,268",,11,,"1,187",70,3
148,142,Georgia,"1,264",+14,17,,"1,054",193,
149,143,Syria,"1,255",,52,,364,839,
150,144,Cyprus,"1,252",,19,,870,363,5
151,145,Liberia,"1,240",,79,,725,436,
152,146,Burkina Faso,"1,204",,54,,984,166,
153,147,Niger,"1,158",,69,,"1,062",27,
154,148,Malta,"1,141",+29,9,,692,440,
155,149,Togo,"1,067",,25,,729,313,2
156,150,Botswana,"1,066",,2,,80,984,1
157,151,Jamaica,"1,031",+8,14,,745,272,
158,152,Andorra,963,,52,,839,72,1
159,153,Chad,945,,76,,843,26,
160,154,Bahamas,945,,15,,113,817,1
161,155,Sao Tome and Principe,878,,15,,800,63,
162,156,Vietnam,863,+16,16,+1,399,448,
163,157,Lesotho,781,,24,,175,582,
164,,,,,,,,,
165,158,Diamond Princess,712,,13,,651,48,4
166,159,San Marino,699,,42,,657,0,
167,160,Réunion,690,,5,,631,54,4
168,161,Aruba,630,,3,,114,513,
169,162,Channel Islands,599,,47,,545,7,
170,163,Guyana,568,,22,,189,357,4
171,164,Tanzania,509,,21,,183,305,7
172,165,Taiwan,480,,7,,443,30,
173,166,Burundi,408,,1,,315,92,
174,167,Comoros,399,,7,,369,23,
175,168,Myanmar,360,,6,,313,41,
176,169,Mauritius,344,,10,,334,0,
177,170,Isle of Man,336,,24,,312,0,
178,171,Martinique,336,,16,,98,222,2
179,172,Faeroe Islands,318,+12,,,225,93,
180,173,Guadeloupe,317,,14,,186,117,2
181,174,Trinidad and Tobago,295,+14,8,,139,148,
182,175,Mongolia,293,,,,263,30,1
183,176,Eritrea,285,,,,248,37,
184,177,Cambodia,266,+15,,,220,46,1
185,178,Turks and Caicos,216,,2,,39,175,3
186,179,Papua New Guinea,214,,3,,53,158,
187,180,Cayman Islands,203,,1,,202,0,
188,181,Gibraltar,202,+1,,,187,15,
189,182,Sint Maarten,189,,17,,86,86,3
190,183,Belize,177,+23,2,,32,143,2
191,184,Bermuda,158,,9,,144,5,
192,185,Barbados,142,,7,,112,23,
193,186,Brunei,142,,3,,138,1,
194,187,Monaco,133,,4,,113,16,4
195,188,Seychelles,127,+1,,,126,1,
196,189,Bhutan,113,+3,,,97,16,
197,190,French Polynesia,112,,,,62,50,1
198,191,Antigua and Barbuda,92,,3,,76,13,1
199,192,Liechtenstein,89,,1,,87,1,
200,193,Saint Martin,78,,3,,44,31,1
201,194,St. Vincent Grenadines,57,,,,52,5,
202,195,Macao,46,,,,46,0,
203,196,Curaçao,32,,1,,30,1,
204,197,Fiji,27,,1,,18,8,
205,198,Saint Lucia,25,,,,25,0,
206,199,Timor-Leste,25,,,,24,1,
207,200,Grenada,24,,,,23,1,
208,201,New Caledonia,23,,,,22,1,
209,202,Laos,20,,,,19,1,
210,203,Dominica,18,,,,18,0,
211,204,Saint Kitts and Nevis,17,,,,17,0,
212,205,Greenland,14,,,,14,0,
213,206,Montserrat,13,,1,,12,0,
214,207,Caribbean Netherlands,13,,,,7,6,
215,208,Falkland Islands,13,,,,13,0,
216,209,St. Barth,13,,,,6,7,
217,210,Vatican City,12,,,,12,0,
218,211,Western Sahara,10,,1,,8,1,
219,212,MS Zaandam,9,,2,,,7,
220,213,British Virgin Islands,9,,1,,7,1,
221,214,Saint Pierre Miquelon,4,,,,1,3,
222,215,Anguilla,3,,,,3,0,
223,,,,,,,,,
224,,,,,,,,,
225,,,,,,,,,
226,,,,,,,,,
227,,,,,,,,,
228,,,,,,,,,
229,,,,,,,,,
230,,Total:,"20,317,273","+71,694","740,291","+1,989","13,241,277",,"6,335,705"
